File,Min,Mean,Max
pcp_mm_ACCESS1-3_rcp45_feb_total_1950-1959_mean.tif,1.0,49.2,526.0
pcp_mm_ACCESS1-3_rcp45_mar_total_1950-1959_mean.tif,1.0,39.4,563.0
pcp_mm_ACCESS1-3_rcp45_apr_total_1950-1959_mean.tif,1.0,43.0,556.0
pcp_mm_ACCESS1-3_rcp45_may_total_1950-1959_mean.tif,0.0,37.5,364.0
pcp_mm_ACCESS1-3_rcp45_jun_total_1950-1959_mean.tif,8.0,64.5,429.0
pcp_mm_ACCESS1-3_rcp45_jul_total_1950-1959_mean.tif,19.0,84.5,390.0
pcp_mm_ACCESS1-3_rcp45_aug_total_1950-1959_mean.tif,19.0,91.8,468.0
pcp_mm_ACCESS1-3_rcp45_sep_total_1950-1959_mean.tif,11.0,103.0,687.0
pcp_mm_ACCESS1-3_rcp45_oct_total_1950-1959_mean.tif,6.0,95.1,884.0
pcp_mm_ACCESS1-3_rcp45_nov_total_1950-1959_mean.tif,1.0,73.4,829.0
pcp_mm_ACCESS1-3_rcp45_dec_total_1950-1959_mean.tif,4.0,76.3,813.0
pcp_mm_ACCESS1-3_rcp45_jan_total_1960-1969_mean.tif,0.0,35.0,453.0
pcp_mm_ACCESS1-3_rcp45_feb_total_1960-1969_mean.tif,0.0,43.9,460.0
pcp_mm_ACCESS1-3_rcp45_mar_total_1960-1969_mean.tif,0.0,32.7,444.0
pcp_mm_ACCESS1-3_rcp45_apr_total_1960-1969_mean.tif,1.0,35.5,417.0
pcp_mm_ACCESS1-3_rcp45_may_total_1960-1969_mean.tif,0.0,46.1,499.0
pcp_mm_ACCESS1-3_rcp45_jun_total_1960-1969_mean.tif,2.0,46.6,445.0
pcp_mm_ACCESS1-3_rcp45_jul_total_1960-1969_mean.tif,19.0,86.6,505.0
pcp_mm_ACCESS1-3_rcp45_aug_total_1960-1969_mean.tif,19.0,95.4,459.0
pcp_mm_ACCESS1-3_rcp45_sep_total_1960-1969_mean.tif,8.0,91.6,730.0
pcp_mm_ACCESS1-3_rcp45_oct_total_1960-1969_mean.tif,4.0,104.3,1022.0
pcp_mm_ACCESS1-3_rcp45_nov_total_1960-1969_mean.tif,0.0,53.5,739.0
pcp_mm_ACCESS1-3_rcp45_dec_total_1960-1969_mean.tif,4.0,64.1,695.0
pcp_mm_ACCESS1-3_rcp45_jan_total_1970-1979_mean.tif,1.0,50.5,627.0
pcp_mm_ACCESS1-3_rcp45_feb_total_1970-1979_mean.tif,2.0,49.1,549.0
pcp_mm_ACCESS1-3_rcp45_mar_total_1970-1979_mean.tif,0.0,23.8,314.0
pcp_mm_ACCESS1-3_rcp45_apr_total_1970-1979_mean.tif,0.0,33.1,452.0
pcp_mm_ACCESS1-3_rcp45_may_total_1970-1979_mean.tif,1.0,44.2,376.0
pcp_mm_ACCESS1-3_rcp45_jun_total_1970-1979_mean.tif,8.0,60.4,343.0
pcp_mm_ACCESS1-3_rcp45_jul_total_1970-1979_mean.tif,16.0,73.5,344.0
pcp_mm_ACCESS1-3_rcp45_aug_total_1970-1979_mean.tif,13.0,89.0,465.0
pcp_mm_ACCESS1-3_rcp45_sep_total_1970-1979_mean.tif,13.0,87.4,666.0
pcp_mm_ACCESS1-3_rcp45_oct_total_1970-1979_mean.tif,5.0,84.4,782.0
pcp_mm_ACCESS1-3_rcp45_nov_total_1970-1979_mean.tif,2.0,78.4,750.0
pcp_mm_ACCESS1-3_rcp45_dec_total_1970-1979_mean.tif,1.0,62.2,671.0
pcp_mm_ACCESS1-3_rcp45_jan_total_1980-1989_mean.tif,2.0,57.1,734.0
pcp_mm_ACCESS1-3_rcp45_feb_total_1980-1989_mean.tif,0.0,48.8,578.0
pcp_mm_ACCESS1-3_rcp45_mar_total_1980-1989_mean.tif,0.0,32.5,489.0
pcp_mm_ACCESS1-3_rcp45_apr_total_1980-1989_mean.tif,1.0,42.2,409.0
pcp_mm_ACCESS1-3_rcp45_may_total_1980-1989_mean.tif,0.0,43.8,401.0
pcp_mm_ACCESS1-3_rcp45_jun_total_1980-1989_mean.tif,7.0,52.6,296.0
pcp_mm_ACCESS1-3_rcp45_jul_total_1980-1989_mean.tif,13.0,84.6,379.0
pcp_mm_ACCESS1-3_rcp45_aug_total_1980-1989_mean.tif,22.0,93.9,595.0
pcp_mm_ACCESS1-3_rcp45_sep_total_1980-1989_mean.tif,8.0,93.8,679.0
pcp_mm_ACCESS1-3_rcp45_oct_total_1980-1989_mean.tif,6.0,95.2,938.0
pcp_mm_ACCESS1-3_rcp45_nov_total_1980-1989_mean.tif,1.0,53.0,589.0
pcp_mm_ACCESS1-3_rcp45_dec_total_1980-1989_mean.tif,1.0,59.6,824.0
pcp_mm_ACCESS1-3_rcp45_jan_total_1990-1999_mean.tif,0.0,62.7,811.0
pcp_mm_ACCESS1-3_rcp45_feb_total_1990-1999_mean.tif,0.0,37.4,415.0
pcp_mm_ACCESS1-3_rcp45_mar_total_1990-1999_mean.tif,1.0,36.7,430.0
pcp_mm_ACCESS1-3_rcp45_apr_total_1990-1999_mean.tif,0.0,28.9,497.0
pcp_mm_ACCESS1-3_rcp45_may_total_1990-1999_mean.tif,0.0,37.3,355.0
pcp_mm_ACCESS1-3_rcp45_jun_total_1990-1999_mean.tif,2.0,53.1,338.0
pcp_mm_ACCESS1-3_rcp45_jul_total_1990-1999_mean.tif,22.0,78.2,394.0
pcp_mm_ACCESS1-3_rcp45_aug_total_1990-1999_mean.tif,18.0,109.0,569.0
pcp_mm_ACCESS1-3_rcp45_sep_total_1990-1999_mean.tif,7.0,87.5,697.0
pcp_mm_ACCESS1-3_rcp45_oct_total_1990-1999_mean.tif,4.0,68.7,607.0
pcp_mm_ACCESS1-3_rcp45_nov_total_1990-1999_mean.tif,0.0,52.5,623.0
pcp_mm_ACCESS1-3_rcp45_dec_total_1990-1999_mean.tif,1.0,64.9,723.0
pcp_mm_ACCESS1-3_rcp45_jan_total_2000-2009_mean.tif,0.0,48.0,560.0
pcp_mm_ACCESS1-3_rcp45_feb_total_2000-2009_mean.tif,0.0,50.5,517.0
pcp_mm_ACCESS1-3_rcp45_mar_total_2000-2009_mean.tif,0.0,43.7,607.0
pcp_mm_ACCESS1-3_rcp45_apr_total_2000-2009_mean.tif,0.0,37.6,525.0
pcp_mm_ACCESS1-3_rcp45_may_total_2000-2009_mean.tif,0.0,34.6,272.0
pcp_mm_ACCESS1-3_rcp45_jun_total_2000-2009_mean.tif,6.0,56.4,455.0
pcp_mm_ACCESS1-3_rcp45_jul_total_2000-2009_mean.tif,15.0,86.1,509.0
