File,Min,Mean,Max
runoff_mm_ACCESS1-3_rcp45_feb_total_1950-1959_mean.tif,0.0,2.1,109.0
runoff_mm_ACCESS1-3_rcp45_mar_total_1950-1959_mean.tif,0.0,8.8,244.0
runoff_mm_ACCESS1-3_rcp45_apr_total_1950-1959_mean.tif,0.0,52.0,742.0
runoff_mm_ACCESS1-3_rcp45_may_total_1950-1959_mean.tif,0.0,106.4,1438.0
runoff_mm_ACCESS1-3_rcp45_jun_total_1950-1959_mean.tif,0.0,121.3,1643.0
runoff_mm_ACCESS1-3_rcp45_jul_total_1950-1959_mean.tif,1.0,112.5,1644.0
runoff_mm_ACCESS1-3_rcp45_aug_total_1950-1959_mean.tif,1.0,77.0,1095.0
runoff_mm_ACCESS1-3_rcp45_sep_total_1950-1959_mean.tif,0.0,26.9,423.0
runoff_mm_ACCESS1-3_rcp45_oct_total_1950-1959_mean.tif,0.0,9.2,234.0
runoff_mm_ACCESS1-3_rcp45_nov_total_1950-1959_mean.tif,0.0,2.5,139.0
runoff_mm_ACCESS1-3_rcp45_dec_total_1950-1959_mean.tif,0.0,1.7,159.0
runoff_mm_ACCESS1-3_rcp45_jan_total_1960-1969_mean.tif,0.0,4.0,208.0
runoff_mm_ACCESS1-3_rcp45_feb_total_1960-1969_mean.tif,0.0,4.0,139.0
runoff_mm_ACCESS1-3_rcp45_mar_total_1960-1969_mean.tif,0.0,10.5,298.0
runoff_mm_ACCESS1-3_rcp45_apr_total_1960-1969_mean.tif,0.0,44.0,729.0
runoff_mm_ACCESS1-3_rcp45_may_total_1960-1969_mean.tif,0.0,96.1,1381.0
runoff_mm_ACCESS1-3_rcp45_jun_total_1960-1969_mean.tif,0.0,109.3,1697.0
runoff_mm_ACCESS1-3_rcp45_jul_total_1960-1969_mean.tif,1.0,108.2,1635.0
runoff_mm_ACCESS1-3_rcp45_aug_total_1960-1969_mean.tif,1.0,70.0,1194.0
runoff_mm_ACCESS1-3_rcp45_sep_total_1960-1969_mean.tif,0.0,29.4,474.0
runoff_mm_ACCESS1-3_rcp45_oct_total_1960-1969_mean.tif,0.0,11.3,265.0
runoff_mm_ACCESS1-3_rcp45_nov_total_1960-1969_mean.tif,0.0,3.7,157.0
runoff_mm_ACCESS1-3_rcp45_dec_total_1960-1969_mean.tif,0.0,2.8,214.0
runoff_mm_ACCESS1-3_rcp45_jan_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_feb_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_mar_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_apr_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_may_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_jun_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_jul_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_aug_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_sep_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_oct_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_nov_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_dec_total_1970-1979_mean.tif,nan,nan,nan
runoff_mm_ACCESS1-3_rcp45_jan_total_1980-1989_mean.tif,0.0,3.3,219.0
runoff_mm_ACCESS1-3_rcp45_feb_total_1980-1989_mean.tif,0.0,3.5,116.0
runoff_mm_ACCESS1-3_rcp45_mar_total_1980-1989_mean.tif,0.0,9.0,247.0
runoff_mm_ACCESS1-3_rcp45_apr_total_1980-1989_mean.tif,0.0,40.0,634.0
runoff_mm_ACCESS1-3_rcp45_may_total_1980-1989_mean.tif,0.0,135.4,1340.0
runoff_mm_ACCESS1-3_rcp45_jun_total_1980-1989_mean.tif,1.0,161.9,1745.0
runoff_mm_ACCESS1-3_rcp45_jul_total_1980-1989_mean.tif,0.0,150.4,1521.0
runoff_mm_ACCESS1-3_rcp45_aug_total_1980-1989_mean.tif,1.0,101.2,1144.0
runoff_mm_ACCESS1-3_rcp45_sep_total_1980-1989_mean.tif,0.0,44.5,569.0
runoff_mm_ACCESS1-3_rcp45_oct_total_1980-1989_mean.tif,0.0,10.9,260.0
runoff_mm_ACCESS1-3_rcp45_nov_total_1980-1989_mean.tif,0.0,4.9,217.0
