File,Min,Mean,Max
snow_melt_mm_ACCESS1-3_rcp45_feb_total_1950-1959_mean.tif,0.0,6.3,162.0
snow_melt_mm_ACCESS1-3_rcp45_mar_total_1950-1959_mean.tif,0.0,25.3,413.0
snow_melt_mm_ACCESS1-3_rcp45_apr_total_1950-1959_mean.tif,0.0,111.8,1059.0
snow_melt_mm_ACCESS1-3_rcp45_may_total_1950-1959_mean.tif,0.0,137.8,1732.0
snow_melt_mm_ACCESS1-3_rcp45_jun_total_1950-1959_mean.tif,0.0,118.3,1713.0
snow_melt_mm_ACCESS1-3_rcp45_jul_total_1950-1959_mean.tif,0.0,109.6,1689.0
snow_melt_mm_ACCESS1-3_rcp45_aug_total_1950-1959_mean.tif,0.0,78.8,1498.0
snow_melt_mm_ACCESS1-3_rcp45_sep_total_1950-1959_mean.tif,0.0,35.3,1134.0
snow_melt_mm_ACCESS1-3_rcp45_oct_total_1950-1959_mean.tif,0.0,15.3,526.0
snow_melt_mm_ACCESS1-3_rcp45_nov_total_1950-1959_mean.tif,0.0,6.6,216.0
snow_melt_mm_ACCESS1-3_rcp45_dec_total_1950-1959_mean.tif,0.0,5.4,359.0
snow_melt_mm_ACCESS1-3_rcp45_jan_total_1960-1969_mean.tif,0.0,10.7,439.0
snow_melt_mm_ACCESS1-3_rcp45_feb_total_1960-1969_mean.tif,0.0,10.9,325.0
snow_melt_mm_ACCESS1-3_rcp45_mar_total_1960-1969_mean.tif,0.0,27.8,511.0
snow_melt_mm_ACCESS1-3_rcp45_apr_total_1960-1969_mean.tif,0.0,95.3,1048.0
snow_melt_mm_ACCESS1-3_rcp45_may_total_1960-1969_mean.tif,0.0,121.3,1588.0
snow_melt_mm_ACCESS1-3_rcp45_jun_total_1960-1969_mean.tif,0.0,107.6,1750.0
snow_melt_mm_ACCESS1-3_rcp45_jul_total_1960-1969_mean.tif,0.0,104.4,1738.0
snow_melt_mm_ACCESS1-3_rcp45_aug_total_1960-1969_mean.tif,0.0,74.1,1573.0
snow_melt_mm_ACCESS1-3_rcp45_sep_total_1960-1969_mean.tif,0.0,34.8,1081.0
snow_melt_mm_ACCESS1-3_rcp45_oct_total_1960-1969_mean.tif,0.0,16.5,730.0
snow_melt_mm_ACCESS1-3_rcp45_nov_total_1960-1969_mean.tif,0.0,8.5,232.0
snow_melt_mm_ACCESS1-3_rcp45_dec_total_1960-1969_mean.tif,0.0,7.7,388.0
snow_melt_mm_ACCESS1-3_rcp45_jan_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_feb_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_mar_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_apr_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_may_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_jun_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_jul_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_aug_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_sep_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_oct_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_nov_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_dec_total_1970-1979_mean.tif,nan,nan,nan
snow_melt_mm_ACCESS1-3_rcp45_jan_total_1980-1989_mean.tif,0.0,8.6,345.0
snow_melt_mm_ACCESS1-3_rcp45_feb_total_1980-1989_mean.tif,0.0,10.0,225.0
snow_melt_mm_ACCESS1-3_rcp45_mar_total_1980-1989_mean.tif,0.0,22.8,434.0
snow_melt_mm_ACCESS1-3_rcp45_apr_total_1980-1989_mean.tif,0.0,85.5,965.0
snow_melt_mm_ACCESS1-3_rcp45_may_total_1980-1989_mean.tif,0.0,184.3,1768.0
snow_melt_mm_ACCESS1-3_rcp45_jun_total_1980-1989_mean.tif,0.0,164.8,1822.0
snow_melt_mm_ACCESS1-3_rcp45_jul_total_1980-1989_mean.tif,0.0,153.4,1718.0
snow_melt_mm_ACCESS1-3_rcp45_aug_total_1980-1989_mean.tif,0.0,114.0,1556.0
snow_melt_mm_ACCESS1-3_rcp45_sep_total_1980-1989_mean.tif,0.0,57.5,1224.0
snow_melt_mm_ACCESS1-3_rcp45_oct_total_1980-1989_mean.tif,0.0,19.5,711.0
snow_melt_mm_ACCESS1-3_rcp45_nov_total_1980-1989_mean.tif,0.0,11.5,296.0
snow_melt_mm_ACCESS1-3_rcp45_dec_total_1980-1989_mean.tif,0.0,12.8,404.0
snow_melt_mm_ACCESS1-3_rcp45_jan_total_1990-1999_mean.tif,0.0,5.4,259.0
snow_melt_mm_ACCESS1-3_rcp45_feb_total_1990-1999_mean.tif,0.0,7.6,234.0
snow_melt_mm_ACCESS1-3_rcp45_mar_total_1990-1999_mean.tif,0.0,16.7,412.0
snow_melt_mm_ACCESS1-3_rcp45_apr_total_1990-1999_mean.tif,0.0,88.6,970.0
snow_melt_mm_ACCESS1-3_rcp45_may_total_1990-1999_mean.tif,0.0,120.5,1551.0
snow_melt_mm_ACCESS1-3_rcp45_jun_total_1990-1999_mean.tif,0.0,118.6,1644.0
snow_melt_mm_ACCESS1-3_rcp45_jul_total_1990-1999_mean.tif,0.0,121.1,1731.0
snow_melt_mm_ACCESS1-3_rcp45_aug_total_1990-1999_mean.tif,0.0,96.0,1585.0
snow_melt_mm_ACCESS1-3_rcp45_sep_total_1990-1999_mean.tif,0.0,45.3,1153.0
snow_melt_mm_ACCESS1-3_rcp45_oct_total_1990-1999_mean.tif,0.0,24.5,812.0
snow_melt_mm_ACCESS1-3_rcp45_nov_total_1990-1999_mean.tif,0.0,9.5,343.0
snow_melt_mm_ACCESS1-3_rcp45_dec_total_1990-1999_mean.tif,0.0,6.0,279.0
snow_melt_mm_ACCESS1-3_rcp45_jan_total_2000-2009_mean.tif,0.0,8.9,280.0
snow_melt_mm_ACCESS1-3_rcp45_feb_total_2000-2009_mean.tif,0.0,12.9,335.0
snow_melt_mm_ACCESS1-3_rcp45_mar_total_2000-2009_mean.tif,0.0,23.7,336.0
snow_melt_mm_ACCESS1-3_rcp45_apr_total_2000-2009_mean.tif,0.0,91.5,776.0
snow_melt_mm_ACCESS1-3_rcp45_may_total_2000-2009_mean.tif,0.0,115.4,1425.0
snow_melt_mm_ACCESS1-3_rcp45_jun_total_2000-2009_mean.tif,0.0,103.9,1800.0
snow_melt_mm_ACCESS1-3_rcp45_jul_total_2000-2009_mean.tif,0.0,87.6,1820.0
snow_melt_mm_ACCESS1-3_rcp45_aug_total_2000-2009_mean.tif,0.0,62.5,1505.0
snow_melt_mm_ACCESS1-3_rcp45_sep_total_2000-2009_mean.tif,0.0,38.8,1132.0
snow_melt_mm_ACCESS1-3_rcp45_oct_total_2000-2009_mean.tif,0.0,16.7,631.0
