File,Min,Mean,Max
evap_mm_ACCESS1-3_rcp45_mar_total_1950-1959_mean.tif,-3.0,3.1,18.0
evap_mm_ACCESS1-3_rcp45_may_total_1950-1959_mean.tif,-7.0,24.4,82.0
evap_mm_ACCESS1-3_rcp45_jul_total_1950-1959_mean.tif,-19.0,64.2,125.0
evap_mm_ACCESS1-3_rcp45_sep_total_1950-1959_mean.tif,-10.0,8.2,44.0
evap_mm_ACCESS1-3_rcp45_nov_total_1950-1959_mean.tif,-4.0,-0.8,12.0
evap_mm_ACCESS1-3_rcp45_feb_total_1950-1959_mean.tif,-3.0,-0.3,8.0
evap_mm_ACCESS1-3_rcp45_apr_total_1950-1959_mean.tif,-4.0,9.7,38.0
evap_mm_ACCESS1-3_rcp45_jun_total_1950-1959_mean.tif,-13.0,58.7,126.0
evap_mm_ACCESS1-3_rcp45_aug_total_1950-1959_mean.tif,-18.0,32.9,79.0
evap_mm_ACCESS1-3_rcp45_oct_total_1950-1959_mean.tif,-5.0,0.4,24.0
evap_mm_ACCESS1-3_rcp45_dec_total_1950-1959_mean.tif,-5.0,-0.7,7.0
evap_mm_ACCESS1-3_rcp45_jan_total_1960-1969_mean.tif,-4.0,-0.6,8.0
evap_mm_ACCESS1-3_rcp45_feb_total_1960-1969_mean.tif,-3.0,0.1,10.0
evap_mm_ACCESS1-3_rcp45_mar_total_1960-1969_mean.tif,-3.0,3.2,20.0
evap_mm_ACCESS1-3_rcp45_apr_total_1960-1969_mean.tif,-3.0,8.7,36.0
evap_mm_ACCESS1-3_rcp45_may_total_1960-1969_mean.tif,-8.0,24.1,80.0
evap_mm_ACCESS1-3_rcp45_jun_total_1960-1969_mean.tif,-14.0,59.9,123.0
evap_mm_ACCESS1-3_rcp45_jul_total_1960-1969_mean.tif,-19.0,60.2,123.0
evap_mm_ACCESS1-3_rcp45_aug_total_1960-1969_mean.tif,-16.0,33.5,77.0
evap_mm_ACCESS1-3_rcp45_sep_total_1960-1969_mean.tif,-11.0,7.5,40.0
evap_mm_ACCESS1-3_rcp45_oct_total_1960-1969_mean.tif,-8.0,0.6,27.0
evap_mm_ACCESS1-3_rcp45_nov_total_1960-1969_mean.tif,-4.0,-0.7,13.0
evap_mm_ACCESS1-3_rcp45_dec_total_1960-1969_mean.tif,-4.0,-1.0,8.0
evap_mm_ACCESS1-3_rcp45_jan_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_feb_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_mar_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_apr_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_may_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_jun_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_jul_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_aug_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_sep_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_oct_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_nov_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_dec_total_1970-1979_mean.tif,nan,nan,nan
evap_mm_ACCESS1-3_rcp45_jan_total_1980-1989_mean.tif,-4.0,-0.7,8.0
evap_mm_ACCESS1-3_rcp45_feb_total_1980-1989_mean.tif,-3.0,-0.4,11.0
evap_mm_ACCESS1-3_rcp45_mar_total_1980-1989_mean.tif,-3.0,2.1,18.0
evap_mm_ACCESS1-3_rcp45_apr_total_1980-1989_mean.tif,-3.0,7.9,33.0
evap_mm_ACCESS1-3_rcp45_may_total_1980-1989_mean.tif,-9.0,18.3,70.0
evap_mm_ACCESS1-3_rcp45_jun_total_1980-1989_mean.tif,-14.0,54.8,133.0
evap_mm_ACCESS1-3_rcp45_jul_total_1980-1989_mean.tif,-18.0,63.9,127.0
evap_mm_ACCESS1-3_rcp45_aug_total_1980-1989_mean.tif,-19.0,37.9,85.0
evap_mm_ACCESS1-3_rcp45_sep_total_1980-1989_mean.tif,-12.0,11.5,45.0
evap_mm_ACCESS1-3_rcp45_oct_total_1980-1989_mean.tif,-7.0,0.7,26.0
evap_mm_ACCESS1-3_rcp45_nov_total_1980-1989_mean.tif,-4.0,-1.0,14.0
