File,Min,Mean,Max
sm2_mm_ACCESS1-3_rcp45_feb_mean_1950-1959_mean.tif,107.0,329.9,599.0
sm2_mm_ACCESS1-3_rcp45_mar_mean_1950-1959_mean.tif,108.0,333.6,599.0
sm2_mm_ACCESS1-3_rcp45_apr_mean_1950-1959_mean.tif,145.0,365.7,600.0
sm2_mm_ACCESS1-3_rcp45_may_mean_1950-1959_mean.tif,145.0,401.5,603.0
sm2_mm_ACCESS1-3_rcp45_jun_mean_1950-1959_mean.tif,114.0,377.5,605.0
sm2_mm_ACCESS1-3_rcp45_jul_mean_1950-1959_mean.tif,97.0,328.7,601.0
sm2_mm_ACCESS1-3_rcp45_aug_mean_1950-1959_mean.tif,101.0,319.4,600.0
sm2_mm_ACCESS1-3_rcp45_sep_mean_1950-1959_mean.tif,106.0,329.5,600.0
sm2_mm_ACCESS1-3_rcp45_oct_mean_1950-1959_mean.tif,108.0,332.6,600.0
sm2_mm_ACCESS1-3_rcp45_nov_mean_1950-1959_mean.tif,109.0,331.2,600.0
sm2_mm_ACCESS1-3_rcp45_dec_mean_1950-1959_mean.tif,109.0,330.4,600.0
sm2_mm_ACCESS1-3_rcp45_jan_mean_1960-1969_mean.tif,106.0,328.3,599.0
sm2_mm_ACCESS1-3_rcp45_feb_mean_1960-1969_mean.tif,106.0,330.6,599.0
sm2_mm_ACCESS1-3_rcp45_mar_mean_1960-1969_mean.tif,110.0,335.4,599.0
sm2_mm_ACCESS1-3_rcp45_apr_mean_1960-1969_mean.tif,136.0,362.3,599.0
sm2_mm_ACCESS1-3_rcp45_may_mean_1960-1969_mean.tif,131.0,396.0,603.0
sm2_mm_ACCESS1-3_rcp45_jun_mean_1960-1969_mean.tif,99.0,367.8,604.0
sm2_mm_ACCESS1-3_rcp45_jul_mean_1960-1969_mean.tif,88.0,325.4,600.0
sm2_mm_ACCESS1-3_rcp45_aug_mean_1960-1969_mean.tif,94.0,316.8,599.0
sm2_mm_ACCESS1-3_rcp45_sep_mean_1960-1969_mean.tif,102.0,326.9,599.0
sm2_mm_ACCESS1-3_rcp45_oct_mean_1960-1969_mean.tif,107.0,330.6,599.0
sm2_mm_ACCESS1-3_rcp45_nov_mean_1960-1969_mean.tif,107.0,328.6,599.0
sm2_mm_ACCESS1-3_rcp45_dec_mean_1960-1969_mean.tif,107.0,328.2,599.0
sm2_mm_ACCESS1-3_rcp45_jan_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_feb_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_mar_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_apr_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_may_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_jun_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_jul_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_aug_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_sep_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_oct_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_nov_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_dec_mean_1970-1979_mean.tif,nan,nan,nan
sm2_mm_ACCESS1-3_rcp45_jan_mean_1980-1989_mean.tif,111.0,340.0,606.0
sm2_mm_ACCESS1-3_rcp45_feb_mean_1980-1989_mean.tif,111.0,341.3,606.0
sm2_mm_ACCESS1-3_rcp45_mar_mean_1980-1989_mean.tif,112.0,344.9,606.0
sm2_mm_ACCESS1-3_rcp45_apr_mean_1980-1989_mean.tif,143.0,364.0,607.0
sm2_mm_ACCESS1-3_rcp45_may_mean_1980-1989_mean.tif,158.0,410.9,611.0
sm2_mm_ACCESS1-3_rcp45_jun_mean_1980-1989_mean.tif,120.0,394.2,613.0
