File,Min,Mean,Max
swe_mm_ACCESS1-3_rcp45_feb_max_1950-1959_mean.tif,29.0,322.6,581261.0
swe_mm_ACCESS1-3_rcp45_mar_max_1950-1959_mean.tif,12.0,328.8,581376.0
swe_mm_ACCESS1-3_rcp45_apr_max_1950-1959_mean.tif,0.0,307.7,581557.0
swe_mm_ACCESS1-3_rcp45_may_max_1950-1959_mean.tif,0.0,209.7,581666.0
swe_mm_ACCESS1-3_rcp45_jun_max_1950-1959_mean.tif,0.0,111.4,581543.0
swe_mm_ACCESS1-3_rcp45_jul_max_1950-1959_mean.tif,0.0,66.9,581026.0
swe_mm_ACCESS1-3_rcp45_aug_max_1950-1959_mean.tif,0.0,59.6,580261.0
swe_mm_ACCESS1-3_rcp45_sep_max_1950-1959_mean.tif,0.0,81.7,579883.0
swe_mm_ACCESS1-3_rcp45_oct_max_1950-1959_mean.tif,2.0,128.1,580233.0
swe_mm_ACCESS1-3_rcp45_nov_max_1950-1959_mean.tif,15.0,187.7,580516.0
swe_mm_ACCESS1-3_rcp45_dec_max_1950-1959_mean.tif,20.0,236.2,580821.0
swe_mm_ACCESS1-3_rcp45_jan_max_1960-1969_mean.tif,15.0,253.3,582352.0
swe_mm_ACCESS1-3_rcp45_feb_max_1960-1969_mean.tif,15.0,280.0,582550.0
swe_mm_ACCESS1-3_rcp45_mar_max_1960-1969_mean.tif,16.0,295.3,582693.0
swe_mm_ACCESS1-3_rcp45_apr_max_1960-1969_mean.tif,1.0,278.4,582878.0
swe_mm_ACCESS1-3_rcp45_may_max_1960-1969_mean.tif,0.0,190.2,582970.0
swe_mm_ACCESS1-3_rcp45_jun_max_1960-1969_mean.tif,0.0,102.8,582807.0
swe_mm_ACCESS1-3_rcp45_jul_max_1960-1969_mean.tif,0.0,66.3,582425.0
swe_mm_ACCESS1-3_rcp45_aug_max_1960-1969_mean.tif,0.0,61.3,581695.0
swe_mm_ACCESS1-3_rcp45_sep_max_1960-1969_mean.tif,0.0,80.3,581341.0
swe_mm_ACCESS1-3_rcp45_oct_max_1960-1969_mean.tif,0.0,123.6,581624.0
swe_mm_ACCESS1-3_rcp45_nov_max_1960-1969_mean.tif,11.0,164.5,582026.0
swe_mm_ACCESS1-3_rcp45_dec_max_1960-1969_mean.tif,13.0,212.3,582462.0
swe_mm_ACCESS1-3_rcp45_jan_max_1970-1979_mean.tif,nan,nan,nan
swe_mm_ACCESS1-3_rcp45_feb_max_1970-1979_mean.tif,nan,nan,nan
swe_mm_ACCESS1-3_rcp45_mar_max_1970-1979_mean.tif,nan,nan,nan
swe_mm_ACCESS1-3_rcp45_apr_max_1970-1979_mean.tif,nan,nan,nan
swe_mm_ACCESS1-3_rcp45_may_max_1970-1979_mean.tif,nan,nan,nan
swe_mm_ACCESS1-3_rcp45_jun_max_1970-1979_mean.tif,nan,nan,nan
swe_mm_ACCESS1-3_rcp45_jul_max_1970-1979_mean.tif,nan,nan,nan
