File,Min,Mean,Max
tmin_degC_ACCESS1-3_rcp45_feb_mean_1950-1959_mean.tif,-40.0,-18.0,1.9
tmin_degC_ACCESS1-3_rcp45_mar_mean_1950-1959_mean.tif,-39.6,-16.0,1.7
tmin_degC_ACCESS1-3_rcp45_apr_mean_1950-1959_mean.tif,-38.3,-9.9,3.4
tmin_degC_ACCESS1-3_rcp45_may_mean_1950-1959_mean.tif,-30.1,-0.5,6.7
tmin_degC_ACCESS1-3_rcp45_jun_mean_1950-1959_mean.tif,-25.6,4.2,9.8
tmin_degC_ACCESS1-3_rcp45_jul_mean_1950-1959_mean.tif,-23.7,6.3,10.3
tmin_degC_ACCESS1-3_rcp45_aug_mean_1950-1959_mean.tif,-26.5,4.9,10.9
tmin_degC_ACCESS1-3_rcp45_sep_mean_1950-1959_mean.tif,-29.8,0.2,8.3
tmin_degC_ACCESS1-3_rcp45_oct_mean_1950-1959_mean.tif,-36.6,-8.3,5.3
tmin_degC_ACCESS1-3_rcp45_nov_mean_1950-1959_mean.tif,-40.0,-15.9,2.1
tmin_degC_ACCESS1-3_rcp45_dec_mean_1950-1959_mean.tif,-37.1,-17.8,2.2
tmin_degC_ACCESS1-3_rcp45_jan_mean_1960-1969_mean.tif,-41.8,-23.2,-0.0
tmin_degC_ACCESS1-3_rcp45_feb_mean_1960-1969_mean.tif,-40.4,-21.7,0.3
tmin_degC_ACCESS1-3_rcp45_mar_mean_1960-1969_mean.tif,-43.5,-18.3,0.6
tmin_degC_ACCESS1-3_rcp45_jan_mean_1970-1979_mean.tif,-36.3,-20.7,1.7
tmin_degC_ACCESS1-3_rcp45_feb_mean_1970-1979_mean.tif,-38.7,-21.4,1.2
tmin_degC_ACCESS1-3_rcp45_mar_mean_1970-1979_mean.tif,-39.4,-17.2,0.9
tmin_degC_ACCESS1-3_rcp45_apr_mean_1970-1979_mean.tif,-33.8,-9.3,3.5
tmin_degC_ACCESS1-3_rcp45_may_mean_1970-1979_mean.tif,-29.8,-1.8,5.9
tmin_degC_ACCESS1-3_rcp45_jun_mean_1970-1979_mean.tif,-31.7,3.6,8.4
tmin_degC_ACCESS1-3_rcp45_jul_mean_1970-1979_mean.tif,-23.3,6.8,11.3
tmin_degC_ACCESS1-3_rcp45_aug_mean_1970-1979_mean.tif,-27.1,6.4,11.9
